S.No.,Fighters,Fight Name,Weight Class,Method,Round,Time,Winner
1,"Derrick Lewis, Rodrigo Nascimento",UFC Fight Night: Lewis vs. Nascimento,Heavyweight,KO/TKO,3,0:49,Derrick Lewis
2,"Joaquin Buckley, Nursulton Ruziboev",UFC Fight Night: Lewis vs. Nascimento,Welterweight,U-DEC,3,5:00,Joaquin Buckley
3,"Carlos Ulberg, Alonzo Menifield",UFC Fight Night: Lewis vs. Nascimento,Light Heavyweight,KO/TKO,1,0:12,Carlos Ulberg
4,"Diego Ferreira, Mateusz Rebecki",UFC Fight Night: Lewis vs. Nascimento,Lightweight,KO/TKO,3,4:51,Diego Ferreira
5,"Sean Woodson, Alex Caceres",UFC Fight Night: Lewis vs. Nascimento,Featherweight,U-DEC,3,5:00,Sean Woodson
6,"Waldo Cortes-Acosta, Robelis Despaigne",UFC Fight Night: Lewis vs. Nascimento,Heavyweight,U-DEC,3,5:00,Waldo Cortes-Acosta
7,"Chase Hooper, Viacheslav Borshchev",UFC Fight Night: Lewis vs. Nascimento,Lightweight,SUB,2,3:00,Chase Hooper
8,"Esteban Ribovics, Terrance McKinney",UFC Fight Night: Lewis vs. Nascimento,Lightweight,KO/TKO,1,0:37,Esteban Ribovics
9,"Tabatha Ricci, Tecia Pennington",UFC Fight Night: Lewis vs. Nascimento,Women's Strawweight,S-DEC,3,5:00,Tabatha Ricci
10,"Trey Waters, Billy Ray Goff",UFC Fight Night: Lewis vs. Nascimento,Welterweight,U-DEC,3,5:00,Trey Waters
11,"Charles Johnson, Jake Hadley",UFC Fight Night: Lewis vs. Nascimento,Flyweight,U-DEC,3,5:00,Charles Johnson
12,"Veronica Hardy, JJ Aldrich",UFC Fight Night: Lewis vs. Nascimento,Women's Flyweight,U-DEC,3,5:00,Veronica Hardy
