S.No.,Fighters,Fight Name,Weight Class,Method,Round,Time,Winner
1,"Alexandre Pantoja, Steve Erceg",UFC 301: Pantoja vs. Erceg,Flyweight,U-DEC,5,5:00,Alexandre Pantoja
2,"Jose Aldo, Jonathan Martinez",UFC 301: Pantoja vs. Erceg,Bantamweight,U-DEC,3,5:00,Jose Aldo
3,"Anthony Smith, Vitor Petrino",UFC 301: Pantoja vs. Erceg,Light Heavyweight,SUB,1,2:00,Anthony Smith
4,"Michel Pereira, Ihor Potieria",UFC 301: Pantoja vs. Erceg,Middleweight,SUB,1,0:54,Michel Pereira
5,"Caio Borralho, Paul Craig",UFC 301: Pantoja vs. Erceg,Middleweight,KO/TKO,2,2:10,Caio Borralho
6,"Joanderson Brito, Jack Shore",UFC 301: Pantoja vs. Erceg,Featherweight,KO/TKO,2,3:35,Joanderson Brito
7,"Iasmin Lucindo, Karolina Kowalkiewicz",UFC 301: Pantoja vs. Erceg,Women's Strawweight,U-DEC,3,5:00,Iasmin Lucindo
8,"Myktybek Orolbai, Elves Brener",UFC 301: Pantoja vs. Erceg,Lightweight,U-DEC,3,5:00,Myktybek Orolbai
9,"Drakkar Klose, Joaquim Silva",UFC 301: Pantoja vs. Erceg,Lightweight,U-DEC,3,5:00,Drakkar Klose
10,"Mauricio Ruffy, Jamie Mullarkey",UFC 301: Pantoja vs. Erceg,Lightweight,KO/TKO,1,4:42,Mauricio Ruffy
11,"Dione Barbosa, Ernesta Kareckaite",UFC 301: Pantoja vs. Erceg,Women's Flyweight,U-DEC,3,5:00,Dione Barbosa
12,"Ismael Bonfim, Vinc Pichel",UFC 301: Pantoja vs. Erceg,Lightweight,U-DEC,3,5:00,Ismael Bonfim
13,"Alessandro Costa, Kevin Borjas",UFC 301: Pantoja vs. Erceg,Flyweight,KO/TKO,2,1:35,Alessandro Costa
