S.No.,Fighters,Fight Name,Weight Class,Method,Round,Time,Winner
1,"Belal Muhammad, Leon Edwards",UFC 304: Edwards vs. Muhammad 2,Welterweight,U-DEC,5,5:00,Belal Muhammad
2,"Tom Aspinall, Curtis Blaydes",UFC 304: Edwards vs. Muhammad 2,Heavyweight,KO/TKO,1,1:00,Tom Aspinall
3,"Paddy Pimblett, King Green",UFC 304: Edwards vs. Muhammad 2,Lightweight,SUB,1,3:22,Paddy Pimblett
4,"Gregory Rodrigues, Christian Leroy Duncan",UFC 304: Edwards vs. Muhammad 2,Middleweight,U-DEC,3,5:00,Gregory Rodrigues
5,"Arnold Allen, Giga Chikadze",UFC 304: Edwards vs. Muhammad 2,Featherweight,U-DEC,3,5:00,Arnold Allen
6,"Nathaniel Wood, Daniel Pineda",UFC 304: Edwards vs. Muhammad 2,Featherweight,U-DEC,3,5:00,Nathaniel Wood
7,"Bruna Brasil, Molly McCann",UFC 304: Edwards vs. Muhammad 2,Women's Strawweight,U-DEC,3,5:00,Bruna Brasil
8,"Jake Hadley, Caolan Loughran",UFC 304: Edwards vs. Muhammad 2,Bantamweight,U-DEC,3,5:00,Jake Hadley
9,"Muhammad Mokaev, Manel Kape",UFC 304: Edwards vs. Muhammad 2,Flyweight,U-DEC,3,5:00,Muhammad Mokaev
10,"Oban Elliott, Preston Parsons",UFC 304: Edwards vs. Muhammad 2,Welterweight,U-DEC,3,5:00,Oban Elliott
11,"Modestas Bukauskas, Marcin Prachnio",UFC 304: Edwards vs. Muhammad 2,Light Heavyweight,SUB,3,3:12,Modestas Bukauskas
12,"Sam Patterson, Kiefer Crosbie",UFC 304: Edwards vs. Muhammad 2,Welterweight,SUB,1,2:50,Sam Patterson
13,"Mick Parkin, Lukasz Brzeski",UFC 304: Edwards vs. Muhammad 2,Heavyweight,KO/TKO,1,3:23,Mick Parkin
14,"Shauna Bannon, Alice Ardelean",UFC 304: Edwards vs. Muhammad 2,Women's Strawweight,S-DEC,3,5:00,Shauna Bannon
