S.No.,Fighters,Fight Name,Weight Class,Method,Round,Time,Winner
1,"Alex Pereira, Jiri Prochazka",UFC 303: Pereira vs. Prochazka 2,Light Heavyweight,KO/TKO,2,0:13,Alex Pereira
2,"Diego Lopes, Dan Ige",UFC 303: Pereira vs. Prochazka 2,Catch Weight,U-DEC,3,5:00,Diego Lopes
3,"Roman Dolidze, Anthony Smith",UFC 303: Pereira vs. Prochazka 2,Light Heavyweight,U-DEC,3,5:00,Roman Dolidze
4,"Macy Chiasson, Mayra Bueno Silva",UFC 303: Pereira vs. Prochazka 2,Women's Bantamweight,KO/TKO,2,1:58,Macy Chiasson
5,"Ian Machado Garry, Michael Page",UFC 303: Pereira vs. Prochazka 2,Welterweight,U-DEC,3,5:00,Ian Machado Garry
6,"Joe Pyfer, Marc-Andre Barriault",UFC 303: Pereira vs. Prochazka 2,Middleweight,KO/TKO,1,1:25,Joe Pyfer
7,"Andre Fili, Cub Swanson",UFC 303: Pereira vs. Prochazka 2,Featherweight,S-DEC,3,5:00,Andre Fili
8,"Jean Silva, Charles Jourdain",UFC 303: Pereira vs. Prochazka 2,Featherweight,KO/TKO,2,1:22,Jean Silva
9,"Payton Talbott, Yanis Ghemmouri",UFC 303: Pereira vs. Prochazka 2,Bantamweight,KO/TKO,1,0:19,Payton Talbott
10,"Gillian Robertson, Michelle Waterson-Gomez",UFC 303: Pereira vs. Prochazka 2,Women's Strawweight,U-DEC,3,5:00,Gillian Robertson
11,"Martin Buday, Andrei Arlovski",UFC 303: Pereira vs. Prochazka 2,Heavyweight,S-DEC,3,5:00,Martin Buday
12,"Rei Tsuruya, Carlos Hernandez",UFC 303: Pereira vs. Prochazka 2,Flyweight,U-DEC,3,5:00,Rei Tsuruya
13,"Vinicius Oliveira, Ricky Simon",UFC 303: Pereira vs. Prochazka 2,Bantamweight,U-DEC,3,5:00,Vinicius Oliveira
