S.No.,Fighters,Fight Name,Weight Class,Method,Round,Time,Winner
1,"Caio Borralho, Jared Cannonier",UFC Fight Night: Cannonier vs. Borralho,Middleweight,U-DEC,5,5:00,Caio Borralho
2,"Tabatha Ricci, Angela Hill",UFC Fight Night: Cannonier vs. Borralho,Women's Strawweight,U-DEC,3,5:00,Tabatha Ricci
3,"Ryan Loder, Robert Valentin",UFC Fight Night: Cannonier vs. Borralho,Middleweight,KO/TKO,2,1:49,Ryan Loder
4,"Mairon Santos, Kaan Ofli",UFC Fight Night: Cannonier vs. Borralho,Featherweight,KO/TKO,2,1:30,Mairon Santos
5,"Michael Morales, Neil Magny",UFC Fight Night: Cannonier vs. Borralho,Welterweight,KO/TKO,1,4:39,Michael Morales
6,"Gerald Meerschaert, Edmen Shahbazyan",UFC Fight Night: Cannonier vs. Borralho,Middleweight,SUB,2,4:12,Gerald Meerschaert
7,"Francis Marshall, Dennis Buzukja",UFC Fight Night: Cannonier vs. Borralho,Lightweight,S-DEC,3,5:00,Francis Marshall
8,"Zachary Reese, Jose Daniel Medina",UFC Fight Night: Cannonier vs. Borralho,Middleweight,U-DEC,3,5:00,Zachary Reese
9,"Viacheslav Borshchev, James Llontop",UFC Fight Night: Cannonier vs. Borralho,Lightweight,S-DEC,3,5:00,Viacheslav Borshchev
10,"Jacqueline Cavalcanti, Josiane Nunes",UFC Fight Night: Cannonier vs. Borralho,Women's Bantamweight,S-DEC,3,5:00,Jacqueline Cavalcanti
11,"Wang Cong, Victoria Leonardo",UFC Fight Night: Cannonier vs. Borralho,Women's Flyweight,KO/TKO,1,1:02,Wang Cong
