S.No.,Fighters,Fight Name,Weight Class,Method,Round,Time,Winner
1,"Alex Pereira, Jamahal Hill",UFC 300: Pereira vs. Hill,Light Heavyweight,KO/TKO,1,3:14,Alex Pereira
2,"Zhang Weili, Yan Xiaonan",UFC 300: Pereira vs. Hill,Women's Strawweight,U-DEC,5,5:00,Zhang Weili
3,"Max Holloway, Justin Gaethje",UFC 300: Pereira vs. Hill,Lightweight,KO/TKO,5,4:59,Max Holloway
4,"Arman Tsarukyan, Charles Oliveira",UFC 300: Pereira vs. Hill,Lightweight,S-DEC,3,5:00,Arman Tsarukyan
5,"Bo Nickal, Cody Brundage",UFC 300: Pereira vs. Hill,Middleweight,SUB,2,3:38,Bo Nickal
6,"Jiri Prochazka, Aleksandar Rakic",UFC 300: Pereira vs. Hill,Light Heavyweight,KO/TKO,2,3:17,Jiri Prochazka
7,"Aljamain Sterling, Calvin Kattar",UFC 300: Pereira vs. Hill,Featherweight,U-DEC,3,5:00,Aljamain Sterling
8,"Kayla Harrison, Holly Holm",UFC 300: Pereira vs. Hill,Women's Bantamweight,SUB,2,1:47,Kayla Harrison
9,"Diego Lopes, Sodiq Yusuff",UFC 300: Pereira vs. Hill,Featherweight,KO/TKO,1,1:29,Diego Lopes
10,"Renato Moicano, Jalin Turner",UFC 300: Pereira vs. Hill,Lightweight,KO/TKO,2,4:11,Renato Moicano
11,"Jessica Andrade, Marina Rodriguez",UFC 300: Pereira vs. Hill,Women's Strawweight,S-DEC,3,5:00,Jessica Andrade
12,"King Green, Jim Miller",UFC 300: Pereira vs. Hill,Lightweight,U-DEC,3,5:00,King Green
13,"Deiveson Figueiredo, Cody Garbrandt",UFC 300: Pereira vs. Hill,Bantamweight,SUB,2,4:02,Deiveson Figueiredo
