S.No.,Fighters,Fight Name,Weight Class,Method,Round,Time,Winner
1,"Rose Namajunas, Amanda Ribas",UFC Fight Night: Ribas vs. Namajunas,Women's Flyweight,U-DEC,5,5:00,Rose Namajunas
2,"Karl Williams, Justin Tafa",UFC Fight Night: Ribas vs. Namajunas,Heavyweight,U-DEC,3,5:00,Karl Williams
3,"Edmen Shahbazyan, AJ Dobson",UFC Fight Night: Ribas vs. Namajunas,Middleweight,KO/TKO,1,4:33,Edmen Shahbazyan
4,"Payton Talbott, Cameron Saaiman",UFC Fight Night: Ribas vs. Namajunas,Bantamweight,KO/TKO,2,0:21,Payton Talbott
5,"Youssef Zalal, Billy Quarantillo",UFC Fight Night: Ribas vs. Namajunas,Featherweight,SUB,2,1:50,Youssef Zalal
6,"Fernando Padilla, Luis Pajuelo",UFC Fight Night: Ribas vs. Namajunas,Featherweight,SUB,1,2:45,Fernando Padilla
7,"Trey Ogden, Kurt Holobaugh",UFC Fight Night: Ribas vs. Namajunas,Lightweight,U-DEC,3,5:00,Trey Ogden
8,"Julian Erosa, Ricardo Ramos",UFC Fight Night: Ribas vs. Namajunas,Featherweight,SUB,1,2:15,Julian Erosa
9,"Miles Johns, Cody Gibson",UFC Fight Night: Ribas vs. Namajunas,Bantamweight,U-DEC,3,5:00,Miles Johns
10,"Jarno Errens, Steven Nguyen",UFC Fight Night: Ribas vs. Namajunas,Featherweight,U-DEC,3,5:00,Jarno Errens
11,"Daria Zhelezniakova, Montserrat Rendon",UFC Fight Night: Ribas vs. Namajunas,Women's Bantamweight,U-DEC,3,5:00,Daria Zhelezniakova
12,"Andre Lima, Igor Severino",UFC Fight Night: Ribas vs. Namajunas,Flyweight,DQ,2,2:52,Andre Lima
13,"Mick Parkin, Mohammed Usman",UFC Fight Night: Ribas vs. Namajunas,Heavyweight,U-DEC,3,5:00,Mick Parkin
