S.No.,Fighters,Fight Name,Weight Class,Method,Round,Time,Winner
1,"Brendan Allen, Chris Curtis",UFC Fight Night: Allen vs. Curtis 2,Middleweight,S-DEC,5,5:00,Brendan Allen
2,"Damon Jackson, Alexander Hernandez",UFC Fight Night: Allen vs. Curtis 2,Featherweight,S-DEC,3,5:00,Damon Jackson
3,"Chepe Mariscal, Morgan Charriere",UFC Fight Night: Allen vs. Curtis 2,Featherweight,S-DEC,3,5:00,Chepe Mariscal
4,"Ignacio Bahamondes, Christos Giagos",UFC Fight Night: Allen vs. Curtis 2,Lightweight,KO/TKO,1,3:34,Ignacio Bahamondes
5,"Charlie Campbell, Trevor Peek",UFC Fight Night: Allen vs. Curtis 2,Lightweight,U-DEC,3,5:00,Charlie Campbell
6,"Alex Morono, Court McGee",UFC Fight Night: Allen vs. Curtis 2,Welterweight,U-DEC,3,5:00,Alex Morono
7,"Lukasz Brzeski, Valter Walker",UFC Fight Night: Allen vs. Curtis 2,Heavyweight,U-DEC,3,5:00,Lukasz Brzeski
8,"Norma Dumont, Germaine de Randamie",UFC Fight Night: Allen vs. Curtis 2,Women's Bantamweight,U-DEC,3,5:00,Norma Dumont
9,"Victor Hugo, Pedro Falcao",UFC Fight Night: Allen vs. Curtis 2,Bantamweight,U-DEC,3,5:00,Victor Hugo
10,"Jean Matsumoto, Dan Argueta",UFC Fight Night: Allen vs. Curtis 2,Bantamweight,SUB,2,4:59,Jean Matsumoto
11,"Cesar Almeida, Dylan Budka",UFC Fight Night: Allen vs. Curtis 2,Middleweight,KO/TKO,2,2:13,Cesar Almeida
12,"Nora Cornolle, Melissa Mullins",UFC Fight Night: Allen vs. Curtis 2,Women's Bantamweight,KO/TKO,2,3:06,Nora Cornolle
