S.No.,Fighters,Fight Name,Weight Class,Method,Round,Time,Winner
1,"Marcin Tybura, Tai Tuivasa",UFC Fight Night: Tuivasa vs. Tybura,Heavyweight,SUB,1,4:08,Marcin Tybura
2,"Bryan Battle, Ange Loosa",UFC Fight Night: Tuivasa vs. Tybura,Welterweight,CNC,2,1:00,Bryan Battle
3,"Ovince Saint Preux, Kennedy Nzechukwu",UFC Fight Night: Tuivasa vs. Tybura,Light Heavyweight,S-DEC,3,5:00,Ovince Saint Preux
4,"Christian Rodriguez, Isaac Dulgarian",UFC Fight Night: Tuivasa vs. Tybura,Featherweight,S-DEC,3,5:00,Christian Rodriguez
5,"Macy Chiasson, Pannie Kianzad",UFC Fight Night: Tuivasa vs. Tybura,Women's Bantamweight,SUB,1,3:54,Macy Chiasson
6,"Gerald Meerschaert, Bryan Barberena",UFC Fight Night: Tuivasa vs. Tybura,Middleweight,SUB,2,4:23,Gerald Meerschaert
7,"Mike Davis, Natan Levy",UFC Fight Night: Tuivasa vs. Tybura,Lightweight,SUB,2,1:43,Mike Davis
8,"Chelsea Chandler, Josiane Nunes",UFC Fight Night: Tuivasa vs. Tybura,Women's Bantamweight,U-DEC,3,5:00,Chelsea Chandler
9,"Jafel Filho, Ode Osbourne",UFC Fight Night: Tuivasa vs. Tybura,Flyweight,SUB,1,4:27,Jafel Filho
10,"Danny Silva, Josh Culibao",UFC Fight Night: Tuivasa vs. Tybura,Featherweight,S-DEC,3,5:00,Danny Silva
11,"Jaqueline Amorim, Cory McKenna",UFC Fight Night: Tuivasa vs. Tybura,Women's Strawweight,SUB,1,1:38,Jaqueline Amorim
12,"Thiago Moises, Mitch Ramirez",UFC Fight Night: Tuivasa vs. Tybura,Lightweight,KO/TKO,3,0:15,Thiago Moises
13,"Chad Anheliger, Charalampos Grigoriou",UFC Fight Night: Tuivasa vs. Tybura,Bantamweight,U-DEC,3,5:00,Chad Anheliger
