S.No.,Fighters,Fight Name,Weight Class,Method,Round,Time,Winner
1,"Tatsuro Taira, Alex Perez",UFC Fight Night: Perez vs. Taira,Flyweight,KO/TKO,2,2:59,Tatsuro Taira
2,"Miles Johns, Douglas Silva de Andrade",UFC Fight Night: Perez vs. Taira,Bantamweight,U-DEC,3,5:00,Miles Johns
3,"Lucas Almeida, Timmy Cuamba",UFC Fight Night: Perez vs. Taira,Featherweight,U-DEC,3,5:00,Lucas Almeida
4,"Brady Hiestand, Garrett Armfield",UFC Fight Night: Perez vs. Taira,Bantamweight,SUB,3,1:52,Brady Hiestand
5,"Asu Almabayev, Jose Johnson",UFC Fight Night: Perez vs. Taira,Flyweight,U-DEC,3,5:00,Asu Almabayev
6,"Adam Fugitt, Josh Quinlan",UFC Fight Night: Perez vs. Taira,Welterweight,S-DEC,3,5:00,Adam Fugitt
7,"Nate Maness, Jimmy Flick",UFC Fight Night: Perez vs. Taira,Flyweight,U-DEC,3,5:00,Nate Maness
8,"Gabriella Fernandes, Carli Judice",UFC Fight Night: Perez vs. Taira,Women's Flyweight,S-DEC,3,5:00,Gabriella Fernandes
9,"Westin Wilson, Jeka Saragih",UFC Fight Night: Perez vs. Taira,Featherweight,SUB,1,1:49,Westin Wilson
10,"Melquizael Costa, Shayilan Nuerdanbieke",UFC Fight Night: Perez vs. Taira,Featherweight,SUB,3,1:50,Melquizael Costa
11,"Josefine Knutsson, Julia Polastri",UFC Fight Night: Perez vs. Taira,Women's Strawweight,U-DEC,3,5:00,Josefine Knutsson
