S.No.,Fighters,Fight Name,Weight Class,Method,Round,Time,Winner
1,"Manon Fiorot, Erin Blanchfield",UFC Fight Night: Blanchfield vs. Fiorot,Women's Flyweight,U-DEC,5,5:00,Manon Fiorot
2,"Joaquin Buckley, Vicente Luque",UFC Fight Night: Blanchfield vs. Fiorot,Welterweight,KO/TKO,2,3:17,Joaquin Buckley
3,"Chris Weidman, Bruno Silva",UFC Fight Night: Blanchfield vs. Fiorot,Middleweight,U-DEC,3,2:18,Chris Weidman
4,"Nursulton Ruziboev, Sedriques Dumas",UFC Fight Night: Blanchfield vs. Fiorot,Middleweight,KO/TKO,1,3:18,Nursulton Ruziboev
5,"Kyle Nelson, Bill Algeo",UFC Fight Night: Blanchfield vs. Fiorot,Featherweight,KO/TKO,1,4:00,Kyle Nelson
6,"Chidi Njokuani, Rhys McKee",UFC Fight Night: Blanchfield vs. Fiorot,Welterweight,S-DEC,3,5:00,Chidi Njokuani
7,"Nate Landwehr, Jamall Emmers",UFC Fight Night: Blanchfield vs. Fiorot,Featherweight,KO/TKO,1,4:43,Nate Landwehr
8,"Virna Jandiroba, Loopy Godinez",UFC Fight Night: Blanchfield vs. Fiorot,Women's Strawweight,U-DEC,3,5:00,Virna Jandiroba
9,"Julio Arce, Herbert Burns",UFC Fight Night: Blanchfield vs. Fiorot,Featherweight,KO/TKO,2,2:00,Julio Arce
10,"Dennis Buzukja, Connor Matthews",UFC Fight Night: Blanchfield vs. Fiorot,Featherweight,KO/TKO,3,0:22,Dennis Buzukja
11,"Ibo Aslan, Anton Turkalj",UFC Fight Night: Blanchfield vs. Fiorot,Light Heavyweight,KO/TKO,3,1:32,Ibo Aslan
12,"Jacob Malkoun, Andre Petroski",UFC Fight Night: Blanchfield vs. Fiorot,Middleweight,KO/TKO,2,0:39,Jacob Malkoun
13,"Caolan Loughran, Angel Pacheco",UFC Fight Night: Blanchfield vs. Fiorot,Bantamweight,U-DEC,3,5:00,Caolan Loughran
