S.No.,Fighters,Fight Name,Weight Class,Method,Round,Time,Winner
1,"Dricus Du Plessis, Israel Adesanya",UFC 305: Du Plessis vs. Adesanya,Middleweight,SUB,4,3:38,Dricus Du Plessis
2,"Kai Kara-France, Steve Erceg",UFC 305: Du Plessis vs. Adesanya,Flyweight,KO/TKO,1,4:04,Kai Kara-France
3,"Dan Hooker, Mateusz Gamrot",UFC 305: Du Plessis vs. Adesanya,Lightweight,S-DEC,3,5:00,Dan Hooker
4,"Jairzinho Rozenstruik, Tai Tuivasa",UFC 305: Du Plessis vs. Adesanya,Heavyweight,S-DEC,3,5:00,Jairzinho Rozenstruik
5,"Carlos Prates, Li Jingliang",UFC 305: Du Plessis vs. Adesanya,Welterweight,KO/TKO,2,4:02,Carlos Prates
6,"Valter Walker, Junior Tafa",UFC 305: Du Plessis vs. Adesanya,Heavyweight,SUB,1,4:56,Valter Walker
7,"Ricardo Ramos, Josh Culibao",UFC 305: Du Plessis vs. Adesanya,Featherweight,S-DEC,3,5:00,Ricardo Ramos
8,"Casey O'Neill, Luana Santos",UFC 305: Du Plessis vs. Adesanya,Women's Flyweight,U-DEC,3,5:00,Casey O'Neill
9,"Jack Jenkins, Herbert Burns",UFC 305: Du Plessis vs. Adesanya,Featherweight,KO/TKO,3,0:48,Jack Jenkins
10,"Tom Nolan, Alex Reyes",UFC 305: Du Plessis vs. Adesanya,Lightweight,U-DEC,3,5:00,Tom Nolan
11,"Song Kenan, Ricky Glenn",UFC 305: Du Plessis vs. Adesanya,Welterweight,U-DEC,3,5:00,Song Kenan
12,"Jesus Aguilar, Stewart Nicoll",UFC 305: Du Plessis vs. Adesanya,Flyweight,SUB,1,2:39,Jesus Aguilar
