S.No.,Fighters,Fight Name,Weight Class,Method,Round,Time,Winner
1,"Lerone Murphy, Edson Barboza",UFC Fight Night: Barboza vs. Murphy,Featherweight,U-DEC,5,5:00,Lerone Murphy
2,"Khaos Williams, Carlston Harris",UFC Fight Night: Barboza vs. Murphy,Welterweight,KO/TKO,1,1:30,Khaos Williams
3,"Themba Gorimbo, Ramiz Brahimaj",UFC Fight Night: Barboza vs. Murphy,Welterweight,U-DEC,3,5:00,Themba Gorimbo
4,"Adrian Yanez, Vinicius Salvador",UFC Fight Night: Barboza vs. Murphy,Bantamweight,KO/TKO,1,2:47,Adrian Yanez
5,"Angela Hill, Luana Pinheiro",UFC Fight Night: Barboza vs. Murphy,Women's Strawweight,SUB,2,4:12,Angela Hill
6,"Tom Nolan, Victor Martinez",UFC Fight Night: Barboza vs. Murphy,Lightweight,KO/TKO,1,3:50,Tom Nolan
7,"Oumar Sy, Tuco Tokkos",UFC Fight Night: Barboza vs. Murphy,Light Heavyweight,SUB,1,3:43,Oumar Sy
8,"Melissa Gatto, Tamires Vidal",UFC Fight Night: Barboza vs. Murphy,Women's Bantamweight,KO/TKO,3,0:37,Melissa Gatto
9,"Abus Magomedov, Warlley Alves",UFC Fight Night: Barboza vs. Murphy,Middleweight,U-DEC,3,5:00,Abus Magomedov
10,"Ariane Carnelossi, Piera Rodriguez",UFC Fight Night: Barboza vs. Murphy,Women's Strawweight,DQ,2,3:16,Ariane Carnelossi
11,"Alatengheili, Kleydson Rodrigues",UFC Fight Night: Barboza vs. Murphy,Bantamweight,U-DEC,3,5:00,Alatengheili
12,"Vanessa Demopoulos, Emily Ducote",UFC Fight Night: Barboza vs. Murphy,Women's Strawweight,S-DEC,3,5:00,Vanessa Demopoulos
