S.No.,Fighters,Fight Name,Weight Class,Method,Round,Time,Winner
1,"Serghei Spivac, Marcin Tybura",UFC Fight Night: Tybura vs. Spivac 2,Heavyweight,SUB,1,1:44,Serghei Spivac
2,"Chepe Mariscal, Damon Jackson",UFC Fight Night: Tybura vs. Spivac 2,Featherweight,U-DEC,3,5:00,Chepe Mariscal
3,"Danny Barlow, Nikolay Veretennikov",UFC Fight Night: Tybura vs. Spivac 2,Welterweight,S-DEC,3,5:00,Danny Barlow
4,"Chris Gutierrez, Quang Le",UFC Fight Night: Tybura vs. Spivac 2,Bantamweight,U-DEC,3,5:00,Chris Gutierrez
5,"Yana Santos, Chelsea Chandler",UFC Fight Night: Tybura vs. Spivac 2,Women's Bantamweight,U-DEC,3,5:00,Yana Santos
6,"Toshiomi Kazama, Charalampos Grigoriou",UFC Fight Night: Tybura vs. Spivac 2,Bantamweight,SUB,2,1:55,Toshiomi Kazama
7,"Karol Rosa, Pannie Kianzad",UFC Fight Night: Tybura vs. Spivac 2,Women's Bantamweight,U-DEC,3,5:00,Karol Rosa
8,"Jhonata Diniz, Karl Williams",UFC Fight Night: Tybura vs. Spivac 2,Heavyweight,U-DEC,3,5:00,Jhonata Diniz
9,"Youssef Zalal, Jarno Errens",UFC Fight Night: Tybura vs. Spivac 2,Featherweight,SUB,1,3:52,Youssef Zalal
10,"Stephanie Luciano, Talita Alencar",UFC Fight Night: Tybura vs. Spivac 2,Women's Strawweight,U-DEC,3,5:00,Stephanie Luciano
