S.No.,Fighters,Fight Name,Weight Class,Method,Round,Time,Winner
1,"Umar Nurmagomedov, Cory Sandhagen",UFC Fight Night: Sandhagen vs. Nurmagomedov,Bantamweight,U-DEC,5,5:00,Umar Nurmagomedov
2,"Shara Magomedov, Michal Oleksiejczuk",UFC Fight Night: Sandhagen vs. Nurmagomedov,Middleweight,U-DEC,3,5:00,Shara Magomedov
3,"Deiveson Figueiredo, Marlon Vera",UFC Fight Night: Sandhagen vs. Nurmagomedov,Bantamweight,U-DEC,3,5:00,Deiveson Figueiredo
4,"Michael Chiesa, Tony Ferguson",UFC Fight Night: Sandhagen vs. Nurmagomedov,Welterweight,SUB,1,3:44,Michael Chiesa
5,"Mackenzie Dern, Loopy Godinez",UFC Fight Night: Sandhagen vs. Nurmagomedov,Women's Strawweight,U-DEC,3,5:00,Mackenzie Dern
6,"Joel Alvarez, Elves Brener",UFC Fight Night: Sandhagen vs. Nurmagomedov,Lightweight,KO/TKO,3,3:36,Joel Alvarez
7,"Azamat Murzakanov, Alonzo Menifield",UFC Fight Night: Sandhagen vs. Nurmagomedov,Light Heavyweight,KO/TKO,2,3:18,Azamat Murzakanov
8,"Kaue Fernandes, Mohammad Yahya",UFC Fight Night: Sandhagen vs. Nurmagomedov,Lightweight,KO/TKO,1,4:45,Kaue Fernandes
9,"Shamil Gaziev, Don'Tale Mayes",UFC Fight Night: Sandhagen vs. Nurmagomedov,Heavyweight,U-DEC,3,5:00,Shamil Gaziev
10,"Guram Kutateladze, Jordan Vucenic",UFC Fight Night: Sandhagen vs. Nurmagomedov,Lightweight,U-DEC,3,5:00,Guram Kutateladze
11,"Sam Hughes, Viktoriia Dudakova",UFC Fight Night: Sandhagen vs. Nurmagomedov,Women's Strawweight,S-DEC,3,5:00,Sam Hughes
12,"Jai Herbert, Rolando Bedoya",UFC Fight Night: Sandhagen vs. Nurmagomedov,Lightweight,U-DEC,3,5:00,Jai Herbert
13,"Sedriques Dumas, Denis Tiuliulin",UFC Fight Night: Sandhagen vs. Nurmagomedov,Middleweight,U-DEC,3,5:00,Sedriques Dumas
