S.No.,Fighters,Fight Name,Weight Class,Method,Round,Time,Winner
1,"Islam Makhachev, Dustin Poirier",UFC 302: Makhachev vs. Poirier,Lightweight,SUB,5,2:42,Islam Makhachev
2,"Sean Strickland, Paulo Costa",UFC 302: Makhachev vs. Poirier,Middleweight,S-DEC,5,5:00,Sean Strickland
3,"Kevin Holland, Michal Oleksiejczuk",UFC 302: Makhachev vs. Poirier,Middleweight,SUB,1,1:34,Kevin Holland
4,"Niko Price, Alex Morono",UFC 302: Makhachev vs. Poirier,Welterweight,U-DEC,3,5:00,Niko Price
5,"Randy Brown, Elizeu Zaleski dos Santos",UFC 302: Makhachev vs. Poirier,Welterweight,U-DEC,3,5:00,Randy Brown
6,"Roman Kopylov, Cesar Almeida",UFC 302: Makhachev vs. Poirier,Middleweight,S-DEC,3,5:00,Roman Kopylov
7,"Jailton Almeida, Alexandr Romanov",UFC 302: Makhachev vs. Poirier,Heavyweight,SUB,1,2:27,Jailton Almeida
8,"Grant Dawson, Joe Solecki",UFC 302: Makhachev vs. Poirier,Lightweight,U-DEC,3,5:00,Grant Dawson
9,"Jake Matthews, Phil Rowe",UFC 302: Makhachev vs. Poirier,Welterweight,U-DEC,3,5:00,Jake Matthews
10,"Bassil Hafez, Mickey Gall",UFC 302: Makhachev vs. Poirier,Welterweight,U-DEC,3,5:00,Bassil Hafez
11,"Ailin Perez, Joselyne Edwards",UFC 302: Makhachev vs. Poirier,Women's Bantamweight,U-DEC,3,5:00,Ailin Perez
12,"Andre Lima, Mitch Raposo",UFC 302: Makhachev vs. Poirier,Flyweight,S-DEC,3,5:00,Andre Lima
