S.No.,Fighters,Fight Name,Weight Class,Method,Round,Time,Winner
1,"Alex Perez, Matheus Nicolau",UFC Fight Night: Nicolau vs. Perez,Flyweight,KO/TKO,2,2:16,Alex Perez
2,"Bogdan Guskov, Ryan Spann",UFC Fight Night: Nicolau vs. Perez,Light Heavyweight,KO/TKO,2,3:16,Bogdan Guskov
3,"Karine Silva, Ariane da Silva",UFC Fight Night: Nicolau vs. Perez,Women's Flyweight,U-DEC,3,5:00,Karine Silva
4,"Jhonata Diniz, Austen Lane",UFC Fight Night: Nicolau vs. Perez,Heavyweight,KO/TKO,2,2:12,Jhonata Diniz
5,"David Onama, Jonathan Pearce",UFC Fight Night: Nicolau vs. Perez,Featherweight,U-DEC,3,5:00,David Onama
6,"Uros Medic, Tim Means",UFC Fight Night: Nicolau vs. Perez,Welterweight,KO/TKO,1,2:09,Uros Medic
7,"Victor Henry, Rani Yahya",UFC Fight Night: Nicolau vs. Perez,Bantamweight,KO/TKO,3,2:36,Victor Henry
8,"Austin Hubbard, Michal Figlak",UFC Fight Night: Nicolau vs. Perez,Lightweight,U-DEC,3,5:00,Austin Hubbard
9,"Don'Tale Mayes, Caio Machado",UFC Fight Night: Nicolau vs. Perez,Heavyweight,U-DEC,3,5:00,Don'Tale Mayes
10,"Ketlen Souza, Marnic Mann",UFC Fight Night: Nicolau vs. Perez,Women's Strawweight,U-DEC,3,5:00,Ketlen Souza
11,"Chris Padilla, James Llontop",UFC Fight Night: Nicolau vs. Perez,Lightweight,SUB,1,4:33,Chris Padilla
12,"Ivana Petrovic, Liang Na",UFC Fight Night: Nicolau vs. Perez,Women's Flyweight,SUB,3,1:29,Ivana Petrovic
13,"Maheshate, Gabriel Benitez",UFC Fight Night: Nicolau vs. Perez,Lightweight,S-DEC,3,5:00,Maheshate
