S.No.,Fighters,Fight Name,Weight Class,Method,Round,Time,Winner
1,"Virna Jandiroba, Amanda Lemos",UFC Fight Night: Lemos vs. Jandiroba,Women's Strawweight,SUB,2,4:48,Virna Jandiroba
2,"Steve Garcia, SeungWoo Choi",UFC Fight Night: Lemos vs. Jandiroba,Featherweight,KO/TKO,1,1:36,Steve Garcia
3,"Kurt Holobaugh, Kaynan Kruschewsky",UFC Fight Night: Lemos vs. Jandiroba,Lightweight,U-DEC,3,5:00,Kurt Holobaugh
4,"Bruno Silva, Cody Durden",UFC Fight Night: Lemos vs. Jandiroba,Flyweight,KO/TKO,2,2:58,Bruno Silva
5,"Dooho Choi, Bill Algeo",UFC Fight Night: Lemos vs. Jandiroba,Featherweight,KO/TKO,2,3:38,Dooho Choi
6,"Hyder Amil, JeongYeong Lee",UFC Fight Night: Lemos vs. Jandiroba,Featherweight,KO/TKO,1,1:05,Hyder Amil
7,"Cody Gibson, Brian Kelleher",UFC Fight Night: Lemos vs. Jandiroba,Bantamweight,SUB,1,3:58,Cody Gibson
8,"Miranda Maverick, Dione Barbosa",UFC Fight Night: Lemos vs. Jandiroba,Women's Flyweight,U-DEC,3,5:00,Miranda Maverick
9,"Trey Ogden, Loik Radzhabov",UFC Fight Night: Lemos vs. Jandiroba,Lightweight,U-DEC,3,5:00,Trey Ogden
10,"Luana Carolina, Lucie Pudilova",UFC Fight Night: Lemos vs. Jandiroba,Women's Flyweight,U-DEC,3,5:00,Luana Carolina
11,"Thomas Petersen, Mohammed Usman",UFC Fight Night: Lemos vs. Jandiroba,Heavyweight,U-DEC,3,5:00,Thomas Petersen
