S.No.,Fighters,Fight Name,Weight Class,Method,Round,Time,Winner
1,"Sean Brady, Gilbert Burns",UFC Fight Night: Burns vs. Brady,Welterweight,U-DEC,5,5:00,Sean Brady
2,"Natalia Silva, Jessica Andrade",UFC Fight Night: Burns vs. Brady,Women's Flyweight,U-DEC,3,5:00,Natalia Silva
3,"Steve Garcia, Kyle Nelson",UFC Fight Night: Burns vs. Brady,Featherweight,KO/TKO,1,3:59,Steve Garcia
4,"Cody Durden, Matt Schnell",UFC Fight Night: Burns vs. Brady,Bantamweight,SUB,2,0:29,Cody Durden
5,"Yanal Ashmouz, Trevor Peek",UFC Fight Night: Burns vs. Brady,Lightweight,U-DEC,3,5:00,Yanal Ashmouz
6,"Chris Padilla, Rongzhu",UFC Fight Night: Burns vs. Brady,Lightweight,KO/TKO,2,4:14,Chris Padilla
7,"Isaac Dulgarian, Brendon Marotte",UFC Fight Night: Burns vs. Brady,Featherweight,SUB,2,4:19,Isaac Dulgarian
8,"Andre Lima, Felipe dos Santos",UFC Fight Night: Burns vs. Brady,Flyweight,U-DEC,3,5:00,Andre Lima
9,"Gabriel Santos, Yizha",UFC Fight Night: Burns vs. Brady,Featherweight,U-DEC,3,5:00,Gabriel Santos
10,"Jaqueline Amorim, Vanessa Demopoulos",UFC Fight Night: Burns vs. Brady,Women's Strawweight,SUB,1,3:28,Jaqueline Amorim
11,"Andre Petroski, Dylan Budka",UFC Fight Night: Burns vs. Brady,Middleweight,U-DEC,3,5:00,Andre Petroski
12,"Nathan Fletcher, Zygimantas Ramaska",UFC Fight Night: Burns vs. Brady,Featherweight,SUB,2,1:14,Nathan Fletcher
