S.No.,Fighters,Fight Name,Weight Class,Method,Round,Time,Winner
1,"Nassourdine Imavov, Jared Cannonier",UFC Fight Night: Cannonier vs. Imavov,Middleweight,KO/TKO,4,1:34,Nassourdine Imavov
2,"Dominick Reyes, Dustin Jacoby",UFC Fight Night: Cannonier vs. Imavov,Light Heavyweight,KO/TKO,1,2:00,Dominick Reyes
3,"Raul Rosas Jr., Ricky Turcios",UFC Fight Night: Cannonier vs. Imavov,Bantamweight,SUB,2,2:22,Raul Rosas Jr.
4,"Brunno Ferreira, Dustin Stoltzfus",UFC Fight Night: Cannonier vs. Imavov,Middleweight,KO/TKO,1,4:51,Brunno Ferreira
5,"Zachary Reese, Julian Marquez",UFC Fight Night: Cannonier vs. Imavov,Middleweight,KO/TKO,1,0:20,Zachary Reese
6,"Punahele Soriano, Miguel Baeza",UFC Fight Night: Cannonier vs. Imavov,Welterweight,U-DEC,3,5:00,Punahele Soriano
7,"Ludovit Klein, Thiago Moises",UFC Fight Night: Cannonier vs. Imavov,Lightweight,U-DEC,3,5:00,Ludovit Klein
8,"Carlos Prates, Charles Radtke",UFC Fight Night: Cannonier vs. Imavov,Welterweight,KO/TKO,1,4:47,Carlos Prates
9,"Brad Katona, Jesse Butler",UFC Fight Night: Cannonier vs. Imavov,Bantamweight,U-DEC,3,5:00,Brad Katona
10,"Montana De La Rosa, Andrea Lee",UFC Fight Night: Cannonier vs. Imavov,Women's Flyweight,S-DEC,3,5:00,Montana De La Rosa
11,"Daniel Marcos, John Castaneda",UFC Fight Night: Cannonier vs. Imavov,Bantamweight,U-DEC,3,5:00,Daniel Marcos
12,"Denise Gomes, Eduarda Moura",UFC Fight Night: Cannonier vs. Imavov,Women's Strawweight,S-DEC,3,5:00,Denise Gomes
13,"Taylor Lapilus, Cody Stamann",UFC Fight Night: Cannonier vs. Imavov,Bantamweight,U-DEC,3,5:00,Taylor Lapilus
14,"Puja Tomar, Rayanne dos Santos",UFC Fight Night: Cannonier vs. Imavov,Women's Strawweight,S-DEC,3,5:00,Puja Tomar
