S.No.,Fighters,Fight Name,Weight Class,Method,Round,Time,Winner
1,"Merab Dvalishvili, Sean O'Malley",UFC 306: Riyadh Season Noche UFC,Bantamweight,U-DEC,5,5:00,Merab Dvalishvili
2,"Valentina Shevchenko, Alexa Grasso",UFC 306: Riyadh Season Noche UFC,Women's Flyweight,U-DEC,5,5:00,Valentina Shevchenko
3,"Diego Lopes, Brian Ortega",UFC 306: Riyadh Season Noche UFC,Featherweight,U-DEC,3,5:00,Diego Lopes
4,"Esteban Ribovics, Daniel Zellhuber",UFC 306: Riyadh Season Noche UFC,Lightweight,S-DEC,3,5:00,Esteban Ribovics
5,"Ronaldo Rodriguez, Ode Osbourne",UFC 306: Riyadh Season Noche UFC,Flyweight,U-DEC,3,5:00,Ronaldo Rodriguez
6,"Norma Dumont, Irene Aldana",UFC 306: Riyadh Season Noche UFC,Women's Bantamweight,U-DEC,3,5:00,Norma Dumont
7,"Ignacio Bahamondes, Manuel Torres",UFC 306: Riyadh Season Noche UFC,Lightweight,KO/TKO,1,4:02,Ignacio Bahamondes
8,"Ketlen Souza, Yazmin Jauregui",UFC 306: Riyadh Season Noche UFC,Women's Strawweight,SUB,1,3:02,Ketlen Souza
9,"Joshua Van, Edgar Chairez",UFC 306: Riyadh Season Noche UFC,Flyweight,U-DEC,3,5:00,Joshua Van
10,"Raul Rosas Jr., Aoriqileng",UFC 306: Riyadh Season Noche UFC,Bantamweight,U-DEC,3,5:00,Raul Rosas Jr.
