S.No.,Fighters,Fight Name,Weight Class,Method,Round,Time,Winner
1,"Rose Namajunas, Tracy Cortez",UFC Fight Night: Namajunas vs. Cortez,Women's Flyweight,U-DEC,5,5:00,Rose Namajunas
2,"Muslim Salikhov, Santiago Ponzinibbio",UFC Fight Night: Namajunas vs. Cortez,Welterweight,S-DEC,3,5:00,Muslim Salikhov
3,"Jean Silva, Drew Dober",UFC Fight Night: Namajunas vs. Cortez,Lightweight,KO/TKO,3,1:28,Jean Silva
4,"Gabriel Bonfim, Ange Loosa",UFC Fight Night: Namajunas vs. Cortez,Welterweight,U-DEC,3,5:00,Gabriel Bonfim
5,"Julian Erosa, Christian Rodriguez",UFC Fight Night: Namajunas vs. Cortez,Featherweight,SUB,1,4:49,Julian Erosa
6,"Abdul Razak Alhassan, Cody Brundage",UFC Fight Night: Namajunas vs. Cortez,Middleweight,CNC,1,0:37,Abdul Razak Alhassan
7,"Charles Johnson, Joshua Van",UFC Fight Night: Namajunas vs. Cortez,Flyweight,KO/TKO,3,0:20,Charles Johnson
8,"Jasmine Jasudavicius, Fatima Kline",UFC Fight Night: Namajunas vs. Cortez,Women's Flyweight,U-DEC,3,5:00,Jasmine Jasudavicius
9,"Montel Jackson, Da'Mon Blackshear",UFC Fight Night: Namajunas vs. Cortez,Bantamweight,KO/TKO,1,0:18,Montel Jackson
10,"Luana Santos, Mariya Agapova",UFC Fight Night: Namajunas vs. Cortez,Women's Flyweight,SUB,1,3:27,Luana Santos
11,"Andre Petroski, Josh Fremd",UFC Fight Night: Namajunas vs. Cortez,Middleweight,U-DEC,3,5:00,Andre Petroski
12,"Evan Elder, Darrius Flowers",UFC Fight Night: Namajunas vs. Cortez,Welterweight,SUB,2,1:46,Evan Elder
